,index,Participant ID,Song ID,Ornamentation,Grooviness,Familiarity,Liking,Consonance,Valence,Excitement,Vocal Range,Sound Quality,Tempo,Rhythmic Regularity,Vocal Tension,Vocal Texture
53,3,10,3,50.0,100.0,50.0,100.0,50.0,50.0,50.0,0.0,50.0,100.0,100.0,50.0,50.0
54,4,10,4,0.0,100.0,50.0,50.0,50.0,50.0,100.0,0.0,50.0,0.0,50.0,0.0,0.0
55,0,100,5,0.0,50.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,100.0,50.0
56,1,100,6,0.0,0.0,50.0,0.0,0.0,50.0,100.0,50.0,50.0,0.0,50.0,50.0,50.0
57,2,100,7,50.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,50.0,0.0,50.0,0.0,100.0
58,3,100,8,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
59,4,100,9,0.0,0.0,50.0,50.0,50.0,100.0,50.0,100.0,50.0,50.0,100.0,100.0,100.0
60,0,101,5,0.0,100.0,50.0,100.0,100.0,100.0,50.0,100.0,50.0,100.0,50.0,100.0,100.0
61,1,101,6,0.0,0.0,50.0,50.0,0.0,50.0,100.0,50.0,0.0,50.0,50.0,0.0,100.0
62,2,101,7,50.0,0.0,50.0,0.0,0.0,50.0,100.0,100.0,50.0,0.0,50.0,0.0,100.0
63,3,101,8,50.0,0.0,50.0,50.0,0.0,50.0,100.0,100.0,0.0,100.0,50.0,50.0,100.0
64,4,101,9,0.0,50.0,50.0,100.0,100.0,100.0,50.0,100.0,0.0,100.0,100.0,100.0,100.0
65,0,102,5,0.0,50.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,100.0,50.0
66,1,102,6,0.0,100.0,100.0,0.0,50.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,50.0
67,2,102,7,50.0,0.0,0.0,50.0,0.0,50.0,0.0,100.0,50.0,0.0,50.0,0.0,100.0
68,3,102,8,0.0,0.0,0.0,50.0,0.0,50.0,0.0,100.0,0.0,0.0,50.0,0.0,100.0
69,4,102,9,0.0,100.0,100.0,50.0,100.0,100.0,100.0,50.0,0.0,100.0,100.0,100.0,0.0
70,0,103,5,0.0,100.0,50.0,100.0,100.0,100.0,50.0,50.0,50.0,100.0,100.0,50.0,50.0
